"ensembl","gene"
"ENSMUSG00000019256","Ahr"
"ENSMUSG00000021866","Anxa11"
"ENSMUSG00000017716","Birc5"
"ENSMUSG00000007815","Rhoa"
"ENSMUSG00000034218","Atm"
"ENSMUSG00000042750","Bex2"
"ENSMUSG00000017146","Brca1"
"ENSMUSG00000041147","Brca2"
"ENSMUSG00000024073","Birc6"
"ENSMUSG00000027379","Bub1"
"ENSMUSG00000040084","Bub1b"
"ENSMUSG00000066979","Bub3"
"ENSMUSG00000001175","Calm1"
"ENSMUSG00000019370","Calm3"
"ENSMUSG00000036438","Calm2"
"ENSMUSG00000033952","Aspm"
"ENSMUSG00000021585","Cast"
"ENSMUSG00000025907","Rb1cc1"
"ENSMUSG00000027793","Ccna1"
"ENSMUSG00000027715","Ccna2"
"ENSMUSG00000032218","Ccnb2"
"ENSMUSG00000070348","Ccnd1"
"ENSMUSG00000000184","Ccnd2"
"ENSMUSG00000034165","Ccnd3"
"ENSMUSG00000002068","Ccne1"
"ENSMUSG00000028212","Ccne2"
"ENSMUSG00000072082","Ccnf"
"ENSMUSG00000020326","Ccng1"
"ENSMUSG00000029385","Ccng2"
"ENSMUSG00000021258","Ccnk"
"ENSMUSG00000011960","Ccnt1"
"ENSMUSG00000061665","Cd2ap"
"ENSMUSG00000032477","Cdc25a"
"ENSMUSG00000027330","Cdc25b"
"ENSMUSG00000044201","Cdc25c"
"ENSMUSG00000019942","Cdk1"
"ENSMUSG00000029062","Cdk11b"
"ENSMUSG00000000028","Cdc45"
"ENSMUSG00000029283","Cdc7"
"ENSMUSG00000025358","Cdk2"
"ENSMUSG00000006728","Cdk4"
"ENSMUSG00000028969","Cdk5"
"ENSMUSG00000048895","Cdk5r1"
"ENSMUSG00000040274","Cdk6"
"ENSMUSG00000069089","Cdk7"
"ENSMUSG00000023067","Cdkn1a"
"ENSMUSG00000003031","Cdkn1b"
"ENSMUSG00000037664","Cdkn1c"
"ENSMUSG00000044303","Cdkn2a"
"ENSMUSG00000073802","Cdkn2b"
"ENSMUSG00000028551","Cdkn2c"
"ENSMUSG00000096472","Cdkn2d"
"ENSMUSG00000029253","Cenpc1"
"ENSMUSG00000021537","Cetn3"
"ENSMUSG00000032113","Chek1"
"ENSMUSG00000029516","Cit"
"ENSMUSG00000028680","Plk3"
"ENSMUSG00000074698","Csnk2a1"
"ENSMUSG00000046707","Csnk2a2"
"ENSMUSG00000024974","Smc3"
"ENSMUSG00000036390","Gadd45a"
"ENSMUSG00000025408","Ddit3"
"ENSMUSG00000022429","Dmc1"
"ENSMUSG00000027490","E2f1"
"ENSMUSG00000016477","E2f3"
"ENSMUSG00000024137","E4f1"
"ENSMUSG00000027479","Mapre1"
"ENSMUSG00000027699","Ect2"
"ENSMUSG00000021131","Erh"
"ENSMUSG00000011831","Evi5"
"ENSMUSG00000029147","Ppm1g"
"ENSMUSG00000028312","Smc2"
"ENSMUSG00000001517","Foxm1"
"ENSMUSG00000052957","Gas1"
"ENSMUSG00000030498","Gas2"
"ENSMUSG00000057614","Gnai1"
"ENSMUSG00000032562","Gnai2"
"ENSMUSG00000000001","Gnai3"
"ENSMUSG00000020372","Gnb2l1"
"ENSMUSG00000028583","Pdpn"
"ENSMUSG00000023505","Cdca3"
"ENSMUSG00000050107","Gsg2"
"ENSMUSG00000071723","Gspt2"
"ENSMUSG00000031386","Hcfc1"
"ENSMUSG00000025001","Hells"
"ENSMUSG00000024986","Hhex"
"ENSMUSG00000049932","H2afx"
"ENSMUSG00000020232","Hmg20b"
"ENSMUSG00000056758","Hmga2"
"ENSMUSG00000024660","Incenp"
"ENSMUSG00000038241","Cep250"
"ENSMUSG00000040205","Cuzd1"
"ENSMUSG00000022178","Ajuba"
"ENSMUSG00000012443","Kif11"
"ENSMUSG00000021375","Kif13a"
"ENSMUSG00000021693","Kif2a"
"ENSMUSG00000040021","Lats1"
"ENSMUSG00000028059","Arhgef2"
"ENSMUSG00000056394","Lig1"
"ENSMUSG00000020697","Lig3"
"ENSMUSG00000024659","Anxa1"
"ENSMUSG00000029554","Mad1l1"
"ENSMUSG00000023572","Ccndbp1"
"ENSMUSG00000041859","Mcm3"
"ENSMUSG00000002870","Mcm2"
"ENSMUSG00000022673","Mcm4"
"ENSMUSG00000005410","Mcm5"
"ENSMUSG00000026355","Mcm6"
"ENSMUSG00000029730","Mcm7"
"ENSMUSG00000014355","Anapc1"
"ENSMUSG00000035683","Melk"
"ENSMUSG00000048416","Mlf1"
"ENSMUSG00000032498","Mlh1"
"ENSMUSG00000021103","Mnat1"
"ENSMUSG00000024151","Msh2"
"ENSMUSG00000024042","Sik1"
"ENSMUSG00000019988","Nedd1"
"ENSMUSG00000026276","Sept2"
"ENSMUSG00000021365","Nedd9"
"ENSMUSG00000031644","Nek1"
"ENSMUSG00000026622","Nek2"
"ENSMUSG00000001228","Uhrf1"
"ENSMUSG00000028851","Nudc"
"ENSMUSG00000020745","Pafah1b1"
"ENSMUSG00000000708","Kat2b"
"ENSMUSG00000032504","Pdcd6ip"
"ENSMUSG00000028926","Cdk14"
"ENSMUSG00000031155","Pim2"
"ENSMUSG00000021948","Prkcd"
"ENSMUSG00000045038","Prkce"
"ENSMUSG00000030867","Plk1"
"ENSMUSG00000018217","Pmp22"
"ENSMUSG00000072214","Sept5"
"ENSMUSG00000020486","Sept4"
"ENSMUSG00000040385","Ppp1ca"
"ENSMUSG00000014956","Ppp1cb"
"ENSMUSG00000004455","Ppp1cc"
"ENSMUSG00000078652","Psme3"
"ENSMUSG00000026064","Ptp4a1"
"ENSMUSG00000024190","Dusp1"
"ENSMUSG00000077450","Rab11b"
"ENSMUSG00000021635","Rad17"
"ENSMUSG00000022314","Rad21"
"ENSMUSG00000020380","Rad50"
"ENSMUSG00000029430","Ran"
"ENSMUSG00000022105","Rb1"
"ENSMUSG00000057236","Rbbp4"
"ENSMUSG00000027641","Rbl1"
"ENSMUSG00000031666","Rbl2"
"ENSMUSG00000058301","Upf1"
"ENSMUSG00000026360","Rgs2"
"ENSMUSG00000028790","Khdrbs1"
"ENSMUSG00000018398","Sept8"
"ENSMUSG00000036840","Siah1a"
"ENSMUSG00000036432","Siah2"
"ENSMUSG00000009907","Vps4b"
"ENSMUSG00000000902","Smarcb1"
"ENSMUSG00000022961","Son"
"ENSMUSG00000021395","Spin1"
"ENSMUSG00000027646","Src"
"ENSMUSG00000030966","Trim21"
"ENSMUSG00000037286","Stag1"
"ENSMUSG00000025862","Stag2"
"ENSMUSG00000020272","Stk10"
"ENSMUSG00000003068","Stk11"
"ENSMUSG00000070837","Aurkc"
"ENSMUSG00000020897","Aurkb"
"ENSMUSG00000027496","Aurka"
"ENSMUSG00000025144","Stra13"
"ENSMUSG00000039231","Suv39h1"
"ENSMUSG00000027855","Sycp1"
"ENSMUSG00000020059","Sycp3"
"ENSMUSG00000011114","Tbrg1"
"ENSMUSG00000025925","Terf1"
"ENSMUSG00000031921","Terf2"
"ENSMUSG00000038482","Tfdp1"
"ENSMUSG00000039994","Timeless"
"ENSMUSG00000031529","Tnks"
"ENSMUSG00000059552","Trp53"
"ENSMUSG00000022510","Trp63"
"ENSMUSG00000029026","Trp73"
"ENSMUSG00000014402","Tsg101"
"ENSMUSG00000015120","Ube2i"
"ENSMUSG00000030061","Uba3"
"ENSMUSG00000031010","Usp9x"
"ENSMUSG00000021115","Vrk1"
"ENSMUSG00000031016","Wee1"
"ENSMUSG00000018654","Ikzf1"
"ENSMUSG00000017499","Cdc6"
"ENSMUSG00000042508","Dmtf1"
"ENSMUSG00000027937","Jtb"
"ENSMUSG00000019794","Katna1"
"ENSMUSG00000001034","Mapk7"
"ENSMUSG00000031478","Nek3"
"ENSMUSG00000021918","Nek4"
"ENSMUSG00000032171","Pin1"
"ENSMUSG00000022456","Sept3"
"ENSMUSG00000041133","Smc1a"
"ENSMUSG00000020694","Tlk2"
"ENSMUSG00000045969","Ing1"
"ENSMUSG00000050996","Cetn1"
"ENSMUSG00000031347","Cetn2"
"ENSMUSG00000024235","Map3k8"
"ENSMUSG00000063358","Mapk1"
"ENSMUSG00000004864","Mapk13"
"ENSMUSG00000063065","Mapk3"
"ENSMUSG00000028282","Casp8ap2"
"ENSMUSG00000057110","Cep110"
"ENSMUSG00000023015","Racgap1"
"ENSMUSG00000032264","Zw10"
"ENSMUSG00000031660","Brd7"
"ENSMUSG00000002297","Dbf4"
"ENSMUSG00000002835","Chaf1a"
"ENSMUSG00000028224","Nbn"
"ENSMUSG00000030330","Ing4"
"ENSMUSG00000021595","Nsun2"
"ENSMUSG00000032534","Cep63"
"ENSMUSG00000022610","Mapk12"
"ENSMUSG00000020415","Pttg1"
"ENSMUSG00000057469","E2f6"
"ENSMUSG00000021959","Lats2"
"ENSMUSG00000042688","Mapk6"
"ENSMUSG00000024068","Spast"
"ENSMUSG00000036928","Stag3"
"ENSMUSG00000029521","Chek2"
"ENSMUSG00000028693","Nasp"
"ENSMUSG00000052087","Rgs14"
"ENSMUSG00000036202","Rif1"
"ENSMUSG00000027331","Knstrn"
"ENSMUSG00000030272","Camk1"
"ENSMUSG00000029176","Anapc4"
"ENSMUSG00000028873","Cdca8"
"ENSMUSG00000058013","Sept11"
"ENSMUSG00000041769","Ppp2r2d"
"ENSMUSG00000024370","Cdc23"
"ENSMUSG00000020185","E2f7"
"ENSMUSG00000019923","Zwint"
"ENSMUSG00000020107","Anapc16"
"ENSMUSG00000041096","Tspyl2"
"ENSMUSG00000025316","Banp"
"ENSMUSG00000032010","Usp2"
"ENSMUSG00000028447","Dctn3"
"ENSMUSG00000067787","Blcap"
"ENSMUSG00000059248","Sept9"
"ENSMUSG00000004771","Rab11a"
"ENSMUSG00000020525","Ppm1d"
"ENSMUSG00000028044","Cks1b"
"ENSMUSG00000002055","Spag5"
"ENSMUSG00000000486","Sept1"
"ENSMUSG00000042903","Foxo4"
"ENSMUSG00000025077","Dclre1a"
"ENSMUSG00000008859","Rala"
"ENSMUSG00000021440","Cts7"
"ENSMUSG00000029910","Mad2l1"
"ENSMUSG00000027510","Rbm38"
"ENSMUSG00000038619","Ensa"
"ENSMUSG00000035086","Becn1"
"ENSMUSG00000015971","Actr8"
"ENSMUSG00000010067","Rassf1"
"ENSMUSG00000029466","Anapc7"
"ENSMUSG00000024944","Arl2"
"ENSMUSG00000038393","Txnip"
"ENSMUSG00000025035","Arl3"
"ENSMUSG00000020235","Fzr1"
"ENSMUSG00000030079","Ruvbl1"
"ENSMUSG00000005699","Pard6a"
"ENSMUSG00000050379","Sept6"
"ENSMUSG00000028351","Brinp1"
"ENSMUSG00000068744","Psrc1"
"ENSMUSG00000006715","Gmnn"
"ENSMUSG00000022089","Bin3"
"ENSMUSG00000044641","Pard6b"
"ENSMUSG00000090083","Rnf8"
"ENSMUSG00000091337","Eid1"
"ENSMUSG00000031906","Smpd3"
"ENSMUSG00000079562","Maea"
"ENSMUSG00000029472","Anapc5"
"ENSMUSG00000007656","Arpp19"
"ENSMUSG00000026749","Nek6"
"ENSMUSG00000060475","Wtap"
"ENSMUSG00000040957","Cables1"
"ENSMUSG00000004451","Ralb"
"ENSMUSG00000015149","Sirt2"
"ENSMUSG00000026646","Suv39h2"
"ENSMUSG00000004085","Zak"
"ENSMUSG00000032397","Tipin"
"ENSMUSG00000020492","Ska2"
"ENSMUSG00000025135","Anapc11"
"ENSMUSG00000030983","Bccip"
"ENSMUSG00000062248","Cks2"
"ENSMUSG00000022018","Rgcc"
"ENSMUSG00000027285","Haus2"
"ENSMUSG00000012429","Mplkip"
"ENSMUSG00000075266","Cenpw"
"ENSMUSG00000024790","Sac3d1"
"ENSMUSG00000066149","Cdc26"
"ENSMUSG00000005233","Spc25"
"ENSMUSG00000036223","Ska1"
"ENSMUSG00000038545","Cul7"
"ENSMUSG00000022978","Mis18a"
"ENSMUSG00000027353","Mcm8"
"ENSMUSG00000021548","Ccnh"
"ENSMUSG00000053119","Chmp3"
"ENSMUSG00000027635","Dsn1"
"ENSMUSG00000026683","Nuf2"
"ENSMUSG00000046010","Zfp830"
"ENSMUSG00000092622","Khdc3"
"ENSMUSG00000031242","2610002M06Rik"
"ENSMUSG00000028066","Pmf1"
"ENSMUSG00000024056","Ndc80"
"ENSMUSG00000031176","Dynlt3"
"ENSMUSG00000026779","Mastl"
"ENSMUSG00000040599","Mis12"
"ENSMUSG00000019773","Fbxo5"
"ENSMUSG00000030105","Arl8b"
"ENSMUSG00000006585","Cdt1"
"ENSMUSG00000022678","Nde1"
"ENSMUSG00000021276","Cinp"
"ENSMUSG00000036782","Klhl13"
"ENSMUSG00000021671","Poc5"
"ENSMUSG00000020074","Ccar1"
"ENSMUSG00000074476","Spc24"
"ENSMUSG00000033323","Ctdp1"
"ENSMUSG00000028549","Itgb3bp"
"ENSMUSG00000024791","Cdca5"
"ENSMUSG00000026753","Ppp6c"
"ENSMUSG00000003039","Fam32a"
"ENSMUSG00000049327","Setd8"
"ENSMUSG00000024286","Ccny"
"ENSMUSG00000032400","Zwilch"
"ENSMUSG00000002635","Pdcd2l"
"ENSMUSG00000034154","Ino80"
"ENSMUSG00000038252","Ncapd2"
"ENSMUSG00000026389","Steap3"
"ENSMUSG00000059586","Nsmce2"
"ENSMUSG00000026039","Sgol2"
"ENSMUSG00000029161","Cgref1"
"ENSMUSG00000001403","Ube2c"
"ENSMUSG00000026426","Arl8a"
"ENSMUSG00000036777","Anln"
"ENSMUSG00000055128","Cgrrf1"
"ENSMUSG00000000355","Mcts1"
"ENSMUSG00000036977","Anapc10"
"ENSMUSG00000035048","Anapc13"
