"seqnames","start","end","width","strand"
"chr1",64223,243928,179706,"*"
"chr1",311268,876576,565309,"*"
"chr1",933928,1063267,129340,"*"
"chr1",1335862,1408315,72454,"*"
"chr1",1464834,1545820,80987,"*"
"chr1",1584520,1820054,235535,"*"
"chr1",1988951,2324432,335482,"*"
"chr1",2726132,2888975,162844,"*"
"chr1",3832801,3909710,76910,"*"
"chr1",3957658,4154967,197310,"*"
"chr1",4290939,4364296,73358,"*"
"chr1",4457169,4734416,277248,"*"
"chr1",5231934,5251615,19682,"*"
"chr1",5322429,5514344,191916,"*"
"chr1",5563007,5715436,152430,"*"
"chr1",5912083,5992355,80273,"*"
"chr1",6026238,6032194,5957,"*"
"chr1",6064436,6127755,63320,"*"
"chr1",6268478,6281151,12674,"*"
"chr1",6310639,6415112,104474,"*"
"chr1",6510374,6914364,403991,"*"
"chr1",7004640,7084581,79942,"*"
"chr1",7118671,7357980,239310,"*"
"chr1",7461030,7466353,5324,"*"
"chr1",7955198,7963988,8791,"*"
"chr1",8512665,8607675,95011,"*"
"chr1",8920556,8921328,773,"*"
"chr1",9081845,9110495,28651,"*"
"chr1",9128669,9407181,278513,"*"
"chr1",9677150,9912655,235506,"*"
"chr1",9986178,10167495,181318,"*"
"chr1",10174355,10262536,88182,"*"
"chr1",10368393,10651677,283285,"*"
"chr1",10985616,10999810,14195,"*"
"chr1",11243666,11446550,202885,"*"
"chr1",11528338,11544315,15978,"*"
"chr1",11609916,11743167,133252,"*"
"chr1",11745151,11758136,12986,"*"
"chr1",11794841,12160996,366156,"*"
"chr1",12320480,12322373,1894,"*"
"chr1",12487758,12497881,10124,"*"
"chr1",12512691,12696099,183409,"*"
"chr1",12862996,12903874,40879,"*"
"chr1",13210481,13395496,185016,"*"
"chr1",13420848,13601373,180526,"*"
"chr1",13851374,13881601,30228,"*"
"chr1",13894292,14026628,132337,"*"
"chr1",14057759,14412087,354329,"*"
"chr1",14448044,14462879,14836,"*"
"chr1",14585475,14809592,224118,"*"
"chr1",14815453,15133952,318500,"*"
