"seqnames","start","end","width","strand"
"chr1",252098,269096,16999,"*"
"chr1",377163,539301,162139,"*"
"chr1",720570,1009143,288574,"*"
"chr1",1105140,1245726,140587,"*"
"chr1",1471257,1473547,2291,"*"
"chr1",1748853,2013276,264424,"*"
"chr1",2196779,2566998,370220,"*"
"chr1",3170513,3191540,21028,"*"
"chr1",3215307,3533092,317786,"*"
"chr1",3635908,3826539,190632,"*"
"chr1",4251331,4447496,196166,"*"
"chr1",4455219,4573520,118302,"*"
"chr1",4864059,4884764,20706,"*"
"chr1",5225792,5463099,237308,"*"
"chr1",5494936,5799789,304854,"*"
"chr1",5962236,5977385,15150,"*"
"chr1",6133491,6137230,3740,"*"
"chr1",6141325,6175323,33999,"*"
"chr1",6195472,6458617,263146,"*"
"chr1",6887018,7042705,155688,"*"
"chr1",7102604,7515686,413083,"*"
"chr1",7616490,7994795,378306,"*"
"chr1",8005006,8368257,363252,"*"
"chr1",8510204,8560572,50369,"*"
"chr1",8677095,8770568,93474,"*"
"chr1",10056709,10157498,100790,"*"
"chr1",10171810,10355597,183788,"*"
"chr1",10631291,10786121,154831,"*"
"chr1",10787120,10923123,136004,"*"
"chr1",11064007,11136378,72372,"*"
"chr1",11172816,11188072,15257,"*"
"chr1",11399210,11427032,27823,"*"
"chr1",11597711,11602503,4793,"*"
"chr1",11785813,11874485,88673,"*"
"chr1",12086794,12181869,95076,"*"
"chr1",12214751,12517932,303182,"*"
"chr1",12581851,12802252,220402,"*"
"chr1",13368864,13415262,46399,"*"
"chr1",13704637,13732182,27546,"*"
"chr1",13850490,13902384,51895,"*"
"chr1",14319699,14422988,103290,"*"
"chr1",14647337,15183861,536525,"*"
"chr1",15362875,16046980,684106,"*"
"chr1",16204009,16207744,3736,"*"
"chr1",16351474,16531280,179807,"*"
"chr1",16641622,16646579,4958,"*"
"chr1",16714688,16828346,113659,"*"
"chr1",17293152,17386757,93606,"*"
"chr1",17601086,18079129,478044,"*"
"chr1",18278517,18340651,62135,"*"
"chr1",18380733,18771344,390612,"*"
"chr1",18842454,18889337,46884,"*"
"chr1",19101805,19427681,325877,"*"
"chr1",19464502,19562217,97716,"*"
"chr1",19716143,19773375,57233,"*"
"chr1",19821923,20116773,294851,"*"
"chr1",20135767,20317606,181840,"*"
"chr1",20497473,20718138,220666,"*"
"chr1",20726493,21295310,568818,"*"
"chr1",21357300,21408699,51400,"*"
"chr1",21851358,22094492,243135,"*"
"chr1",22310971,22355059,44089,"*"
"chr1",22511444,22597362,85919,"*"
"chr1",22613740,22724250,110511,"*"
"chr1",22881438,22940740,59303,"*"
"chr1",22973668,23399655,425988,"*"
"chr1",23589654,23597209,7556,"*"
"chr1",23876696,23971496,94801,"*"
"chr1",24082600,24085692,3093,"*"
"chr1",24125643,24435945,310303,"*"
"chr1",24537802,25109098,571297,"*"
"chr1",25144078,25160949,16872,"*"
"chr1",25339965,25567900,227936,"*"
"chr1",25683369,25770501,87133,"*"
"chr1",25773848,25788573,14726,"*"
"chr1",25811751,25983823,172073,"*"
"chr1",26063644,26074980,11337,"*"
"chr1",26110402,26393277,282876,"*"
"chr1",26790088,27047375,257288,"*"
"chr1",27209238,27284770,75533,"*"
"chr1",27344583,27550910,206328,"*"
"chr1",27879056,28427246,548191,"*"
"chr1",28510807,28736268,225462,"*"
"chr1",28774452,28972485,198034,"*"
"chr1",29006251,29080685,74435,"*"
"chr1",29231578,29286098,54521,"*"
"chr1",29303198,29417768,114571,"*"
"chr1",29439996,29574261,134266,"*"
"chr1",29630594,29670077,39484,"*"
"chr1",29950646,30007930,57285,"*"
"chr1",30176343,30622745,446403,"*"
