"seqnames","start","end","width","strand"
"chr1",83618,91822,8205,"*"
"chr1",643242,658648,15407,"*"
"chr1",1052968,1274771,221804,"*"
"chr1",1734028,2236614,502587,"*"
"chr1",2238579,2292974,54396,"*"
"chr1",2350264,2519367,169104,"*"
"chr1",2859232,2901295,42064,"*"
"chr1",3287966,3618070,330105,"*"
"chr1",4432492,4598463,165972,"*"
"chr1",4864296,4929869,65574,"*"
"chr1",4999271,5263280,264010,"*"
"chr1",5764512,6244479,479968,"*"
"chr1",6508457,6639160,130704,"*"
"chr1",6674024,6807019,132996,"*"
"chr1",7057416,7634457,577042,"*"
"chr1",7732506,9175071,1442566,"*"
"chr1",9204434,9293793,89360,"*"
"chr1",9319853,9633004,313152,"*"
"chr1",9644125,9818082,173958,"*"
"chr1",9853594,9901019,47426,"*"
"chr1",9959433,9972552,13120,"*"
"chr1",10033821,10038865,5045,"*"
"chr1",10435028,10630629,195602,"*"
"chr1",10646001,10716542,70542,"*"
"chr1",10862809,10935418,72610,"*"
"chr1",11644321,11724382,80062,"*"
"chr1",11987409,12019690,32282,"*"
"chr1",12194997,12210086,15090,"*"
"chr1",12474814,12522200,47387,"*"
"chr1",12643013,12716970,73958,"*"
"chr1",12768355,12923684,155330,"*"
"chr1",13094125,13123636,29512,"*"
"chr1",13276829,13307055,30227,"*"
"chr1",13366995,13463751,96757,"*"
"chr1",13550004,13763223,213220,"*"
"chr1",13810211,13814692,4482,"*"
"chr1",14058149,14059194,1046,"*"
"chr1",14211768,14250311,38544,"*"
"chr1",14354520,14378822,24303,"*"
"chr1",14564878,14572971,8094,"*"
"chr1",14961015,15084888,123874,"*"
"chr1",15098079,15600514,502436,"*"
"chr1",15781912,15886530,104619,"*"
"chr1",16014732,16301115,286384,"*"
"chr1",16346854,16715101,368248,"*"
"chr1",17373085,17456584,83500,"*"
"chr1",17679772,17999706,319935,"*"
"chr1",18060807,18084548,23742,"*"
"chr1",18185589,18272526,86938,"*"
"chr1",18311880,18463077,151198,"*"
"chr1",18587730,18776354,188625,"*"
"chr1",18794556,18890593,96038,"*"
"chr1",19034017,19125474,91458,"*"
"chr1",19243285,19256862,13578,"*"
"chr1",19322773,19806350,483578,"*"
"chr1",19875599,20093810,218212,"*"
"chr1",20195028,20322493,127466,"*"
"chr1",20683999,20798074,114076,"*"
"chr1",20834378,21053143,218766,"*"
"chr1",21311248,21453841,142594,"*"
"chr1",21540006,22051613,511608,"*"
"chr1",22059292,22330460,271169,"*"
"chr1",22413388,22663698,250311,"*"
"chr1",22721585,22967308,245724,"*"
"chr1",23082611,23148747,66137,"*"
"chr1",23238691,23610730,372040,"*"
"chr1",23946258,24207886,261629,"*"
"chr1",24347141,24394572,47432,"*"
"chr1",24398852,24487730,88879,"*"
"chr1",24618965,24806742,187778,"*"
"chr1",25232525,25266227,33703,"*"
"chr1",25643327,26019357,376031,"*"
"chr1",26717162,26745884,28723,"*"
"chr1",27149859,27395675,245817,"*"
"chr1",27484314,27506161,21848,"*"
"chr1",27543996,27749108,205113,"*"
"chr1",28233990,28475262,241273,"*"
"chr1",28904579,28982747,78169,"*"
"chr1",29009664,29294834,285171,"*"
"chr1",29435112,29614936,179825,"*"
"chr1",29681397,29849747,168351,"*"
"chr1",29872236,29935467,63232,"*"
"chr1",30389514,30544364,154851,"*"
"chr1",30697951,30818043,120093,"*"
"chr1",30854492,30947528,93037,"*"
"chr1",31209423,31471454,262032,"*"
"chr1",31540472,31672470,131999,"*"
"chr1",31719898,31855464,135567,"*"
"chr1",31894032,32141078,247047,"*"
"chr1",32272240,32305882,33643,"*"
"chr1",32331617,32350267,18651,"*"
"chr1",32540478,32761894,221417,"*"
"chr1",32946043,33000524,54482,"*"
"chr1",33000921,33763341,762421,"*"
"chr1",34208451,34214474,6024,"*"
"chr1",34311808,35025689,713882,"*"
"chr1",35099812,35261129,161318,"*"
"chr1",35523814,35598384,74571,"*"
"chr1",35897369,35935847,38479,"*"
"chr1",36301627,36321127,19501,"*"
"chr1",36559437,36905754,346318,"*"
"chr1",37451582,37802441,350860,"*"
"chr1",37914407,38023372,108966,"*"
"chr1",38359503,38414653,55151,"*"
"chr1",38466397,38487615,21219,"*"
"chr1",39245896,39367939,122044,"*"
"chr1",39374991,39962954,587964,"*"
"chr1",40060315,40124354,64040,"*"
"chr1",40189179,40412951,223773,"*"
"chr1",40427877,40450319,22443,"*"
"chr1",40515463,40672048,156586,"*"
"chr1",40856623,40975569,118947,"*"
"chr1",41013509,41036298,22790,"*"
"chr1",41183959,41444978,261020,"*"
"chr1",42062731,42131359,68629,"*"
"chr1",42271780,42321420,49641,"*"
"chr1",42401871,42443831,41961,"*"
"chr1",42602049,42655734,53686,"*"
"chr1",43165556,43184016,18461,"*"
"chr1",43196763,43510376,313614,"*"
"chr1",43578410,43615036,36627,"*"
"chr1",43711748,44029178,317431,"*"
"chr1",44112924,44388132,275209,"*"
"chr1",44410856,44551938,141083,"*"
"chr1",44639656,44709315,69660,"*"
"chr1",44797959,44823112,25154,"*"
"chr1",44871483,44904209,32727,"*"
"chr1",45547979,45657906,109928,"*"
"chr1",45935124,46203264,268141,"*"
"chr1",46262891,46532875,269985,"*"
"chr1",46585300,46587071,1772,"*"
"chr1",46622124,46867186,245063,"*"
"chr1",47072522,47235956,163435,"*"
"chr1",47344636,47487524,142889,"*"
"chr1",48466650,48635589,168940,"*"
"chr1",48936844,49229009,292166,"*"
"chr1",49608621,50011316,402696,"*"
"chr1",50095185,50238432,143248,"*"
"chr1",50934848,50990640,55793,"*"
"chr1",51029529,51090723,61195,"*"
"chr1",51168292,51208624,40333,"*"
"chr1",51251025,51480324,229300,"*"
"chr1",51673719,51950980,277262,"*"
"chr1",52144439,52218052,73614,"*"
