"seqnames","start","end","width","strand"
"chr1",13320,34407,21088,"*"
"chr1",663296,667762,4467,"*"
"chr1",897484,921321,23838,"*"
"chr1",936771,958927,22157,"*"
"chr1",1079977,1264401,184425,"*"
"chr1",1403820,1617638,213819,"*"
"chr1",1992895,1993531,637,"*"
"chr1",2076083,2190296,114214,"*"
"chr1",2217707,2375345,157639,"*"
"chr1",2381536,2643821,262286,"*"
"chr1",2936369,2996089,59721,"*"
"chr1",3324947,3615681,290735,"*"
"chr1",3659825,3844216,184392,"*"
"chr1",3847769,4344665,496897,"*"
"chr1",4508353,4561326,52974,"*"
"chr1",4657033,4772542,115510,"*"
"chr1",4925084,4927603,2520,"*"
"chr1",5292865,5486324,193460,"*"
"chr1",5612907,5639430,26524,"*"
"chr1",5691577,5698360,6784,"*"
"chr1",5801208,5857558,56351,"*"
"chr1",6028486,6053027,24542,"*"
"chr1",6114814,6349977,235164,"*"
"chr1",6790132,6882140,92009,"*"
"chr1",6954417,7502594,548178,"*"
"chr1",7523714,7604592,80879,"*"
"chr1",7819525,7881870,62346,"*"
"chr1",8075825,8228066,152242,"*"
"chr1",8316612,8872143,555532,"*"
"chr1",8929348,9323331,393984,"*"
"chr1",9535187,9950611,415425,"*"
"chr1",10040576,10108811,68236,"*"
"chr1",10166029,10182496,16468,"*"
"chr1",10238858,10516697,277840,"*"
"chr1",10559341,10790202,230862,"*"
"chr1",10800336,11019931,219596,"*"
"chr1",11154391,11384383,229993,"*"
"chr1",11576323,11650865,74543,"*"
"chr1",11735742,11775928,40187,"*"
"chr1",12142987,12146328,3342,"*"
"chr1",12190898,12277261,86364,"*"
"chr1",12376288,12646118,269831,"*"
"chr1",12679748,12885057,205310,"*"
"chr1",13185338,13658559,473222,"*"
"chr1",13713774,13744916,31143,"*"
"chr1",13782191,13797139,14949,"*"
"chr1",13892971,13984272,91302,"*"
"chr1",14418646,14543037,124392,"*"
"chr1",14651744,14690086,38343,"*"
"chr1",14697823,14919682,221860,"*"
"chr1",15217516,15532449,314934,"*"
"chr1",15694773,15745319,50547,"*"
"chr1",15920441,16425688,505248,"*"
"chr1",16545515,16845384,299870,"*"
"chr1",17012808,17100034,87227,"*"
"chr1",17153406,17388909,235504,"*"
"chr1",17564163,17631262,67100,"*"
"chr1",17756032,17987122,231091,"*"
"chr1",18118294,18133767,15474,"*"
"chr1",18155740,18398118,242379,"*"
"chr1",18544412,18766775,222364,"*"
"chr1",19384701,19574219,189519,"*"
"chr1",19625505,20071027,445523,"*"
"chr1",20156692,20282160,125469,"*"
"chr1",20333425,20652822,319398,"*"
"chr1",20816135,20858179,42045,"*"
"chr1",20987812,21008219,20408,"*"
"chr1",21515585,21535854,20270,"*"
"chr1",21595335,22281462,686128,"*"
"chr1",22319787,22839304,519518,"*"
"chr1",23074251,23098439,24189,"*"
"chr1",23271014,23511476,240463,"*"
"chr1",23743465,23776019,32555,"*"
"chr1",24034813,24045458,10646,"*"
"chr1",24143035,24405970,262936,"*"
"chr1",24437058,24446465,9408,"*"
"chr1",24526697,24747219,220523,"*"
"chr1",24931933,25473631,541699,"*"
"chr1",25541823,25720503,178681,"*"
"chr1",25966262,26078033,111772,"*"
"chr1",26245230,26298899,53670,"*"
"chr1",26363709,26399784,36076,"*"
"chr1",26408530,26477668,69139,"*"
"chr1",26641984,26829341,187358,"*"
"chr1",26902751,27024652,121902,"*"
"chr1",27130911,27332865,201955,"*"
"chr1",27351513,27788591,437079,"*"
"chr1",27872333,28060022,187690,"*"
"chr1",28095259,28130943,35685,"*"
"chr1",28157850,28392378,234529,"*"
"chr1",28847560,28847775,216,"*"
"chr1",28932285,28962701,30417,"*"
"chr1",28975588,29060973,85386,"*"
"chr1",29200791,31150015,1949225,"*"
"chr1",31304125,31827822,523698,"*"
"chr1",31974602,32080889,106288,"*"
"chr1",32117933,32196964,79032,"*"
"chr1",32481788,32522204,40417,"*"
"chr1",32686625,32868782,182158,"*"
"chr1",33269280,33299849,30570,"*"
"chr1",33378199,33572315,194117,"*"
"chr1",33574320,33658573,84254,"*"
"chr1",34051466,34225825,174360,"*"
"chr1",34495172,34508972,13801,"*"
"chr1",34932834,35062717,129884,"*"
"chr1",35496018,35735319,239302,"*"
"chr1",35810212,36024164,213953,"*"
"chr1",36030967,36103678,72712,"*"
"chr1",36205862,36217433,11572,"*"
"chr1",36749219,36928190,178972,"*"
"chr1",37009638,37152629,142992,"*"
"chr1",37265673,37661119,395447,"*"
"chr1",37718139,37944920,226782,"*"
"chr1",38002986,38100851,97866,"*"
"chr1",38167202,38313459,146258,"*"
"chr1",38956505,39144616,188112,"*"
"chr1",39465087,39513784,48698,"*"
"chr1",39535195,39604340,69146,"*"
"chr1",39651810,39674701,22892,"*"
"chr1",39891850,39901934,10085,"*"
"chr1",39945142,39997261,52120,"*"
"chr1",40173338,40245349,72012,"*"
"chr1",40600852,40658158,57307,"*"
"chr1",40672348,40817886,145539,"*"
"chr1",40856167,41222931,366765,"*"
"chr1",41302526,41368159,65634,"*"
"chr1",41419532,41434743,15212,"*"
"chr1",41577288,41612343,35056,"*"
"chr1",41716654,41723733,7080,"*"
"chr1",41932061,42087231,155171,"*"
"chr1",42216784,42278967,62184,"*"
"chr1",42296628,42644917,348290,"*"
"chr1",42742053,43536629,794577,"*"
"chr1",43572858,43607477,34620,"*"
"chr1",43636595,44065815,429221,"*"
"chr1",44089810,44541689,451880,"*"
